date,demandeTotal 
2026-07-03T00:45:00-04:00,16892.0
2026-07-03T01:30:00-04:00,16354.0
2026-07-03T02:45:00-04:00,15759.0
2026-07-03T03:15:00-04:00,15745.0
2026-07-03T03:30:00-04:00,15727.0
2026-07-03T03:45:00-04:00,15629.0
2026-07-03T04:15:00-04:00,15792.0
2026-07-03T05:15:00-04:00,15859.0
2026-07-03T06:15:00-04:00,16557.0
2026-07-03T06:45:00-04:00,17382.0
2026-07-03T07:45:00-04:00,18693.0
2026-07-03T08:00:00-04:00,18999.0
2026-07-03T08:15:00-04:00,
2026-07-03T10:00:00-04:00,
2026-07-03T10:30:00-04:00,
2026-07-03T10:45:00-04:00,
2026-07-03T11:45:00-04:00,
2026-07-03T12:00:00-04:00,
2026-07-03T12:30:00-04:00,
2026-07-03T12:45:00-04:00,
2026-07-03T13:15:00-04:00,
2026-07-03T13:30:00-04:00,
2026-07-03T14:15:00-04:00,
2026-07-03T14:30:00-04:00,
2026-07-03T14:45:00-04:00,
2026-07-03T15:45:00-04:00,
2026-07-03T16:00:00-04:00,
2026-07-03T16:15:00-04:00,
2026-07-03T16:45:00-04:00,
2026-07-03T17:30:00-04:00,
2026-07-03T17:45:00-04:00,
2026-07-03T18:45:00-04:00,
2026-07-03T19:15:00-04:00,
2026-07-03T20:00:00-04:00,
2026-07-03T20:45:00-04:00,
2026-07-03T21:00:00-04:00,
2026-07-03T21:30:00-04:00,
2026-07-03T21:45:00-04:00,
2026-07-03T22:00:00-04:00,
2026-07-03T22:45:00-04:00,
2026-07-03T23:45:00-04:00,
