interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,demand
2026-06-02T10:30:00-05:00,2026-06-02 15:30:00+00:00,2026-06-02T10:45:00-05:00,2026-06-02 15:45:00+00:00,66678.1927
2026-06-02T10:45:00-05:00,2026-06-02 15:45:00+00:00,2026-06-02T11:00:00-05:00,2026-06-02 16:00:00+00:00,67742.4922
2026-06-02T11:00:00-05:00,2026-06-02 16:00:00+00:00,2026-06-02T11:15:00-05:00,2026-06-02 16:15:00+00:00,68950.7292
2026-06-02T11:15:00-05:00,2026-06-02 16:15:00+00:00,2026-06-02T11:30:00-05:00,2026-06-02 16:30:00+00:00,69910.2292
2026-06-02T11:30:00-05:00,2026-06-02 16:30:00+00:00,2026-06-02T11:45:00-05:00,2026-06-02 16:45:00+00:00,70897.9245
2026-06-02T11:45:00-05:00,2026-06-02 16:45:00+00:00,2026-06-02T12:00:00-05:00,2026-06-02 17:00:00+00:00,72182.5729
2026-06-02T12:00:00-05:00,2026-06-02 17:00:00+00:00,2026-06-02T12:15:00-05:00,2026-06-02 17:15:00+00:00,72925.5547
2026-06-02T12:15:00-05:00,2026-06-02 17:15:00+00:00,2026-06-02T12:30:00-05:00,2026-06-02 17:30:00+00:00,73702.5443
2026-06-02T12:30:00-05:00,2026-06-02 17:30:00+00:00,2026-06-02T12:45:00-05:00,2026-06-02 17:45:00+00:00,74449.5052
2026-06-02T12:45:00-05:00,2026-06-02 17:45:00+00:00,2026-06-02T13:00:00-05:00,2026-06-02 18:00:00+00:00,75089.5677
2026-06-02T13:00:00-05:00,2026-06-02 18:00:00+00:00,2026-06-02T13:15:00-05:00,2026-06-02 18:15:00+00:00,75949.2552
2026-06-02T13:15:00-05:00,2026-06-02 18:15:00+00:00,2026-06-02T13:30:00-05:00,2026-06-02 18:30:00+00:00,76599.4557
2026-06-02T13:30:00-05:00,2026-06-02 18:30:00+00:00,2026-06-02T13:45:00-05:00,2026-06-02 18:45:00+00:00,77093.4375
2026-06-02T13:45:00-05:00,2026-06-02 18:45:00+00:00,2026-06-02T14:00:00-05:00,2026-06-02 19:00:00+00:00,77570.4661
2026-06-02T14:00:00-05:00,2026-06-02 19:00:00+00:00,2026-06-02T14:15:00-05:00,2026-06-02 19:15:00+00:00,77635.4115
2026-06-02T14:15:00-05:00,2026-06-02 19:15:00+00:00,2026-06-02T14:30:00-05:00,2026-06-02 19:30:00+00:00,77972.7891
2026-06-02T14:30:00-05:00,2026-06-02 19:30:00+00:00,2026-06-02T14:45:00-05:00,2026-06-02 19:45:00+00:00,77805.7813
2026-06-02T14:45:00-05:00,2026-06-02 19:45:00+00:00,2026-06-02T15:00:00-05:00,2026-06-02 20:00:00+00:00,77907.2839
2026-06-02T15:00:00-05:00,2026-06-02 20:00:00+00:00,2026-06-02T15:15:00-05:00,2026-06-02 20:15:00+00:00,77712.6146
2026-06-02T15:15:00-05:00,2026-06-02 20:15:00+00:00,2026-06-02T15:30:00-05:00,2026-06-02 20:30:00+00:00,77799.7839
2026-06-02T15:30:00-05:00,2026-06-02 20:30:00+00:00,2026-06-02T15:45:00-05:00,2026-06-02 20:45:00+00:00,77832.3073
2026-06-02T15:45:00-05:00,2026-06-02 20:45:00+00:00,2026-06-02T16:00:00-05:00,2026-06-02 21:00:00+00:00,77586.3021
2026-06-02T16:00:00-05:00,2026-06-02 21:00:00+00:00,2026-06-02T16:15:00-05:00,2026-06-02 21:15:00+00:00,77264.1563
2026-06-02T16:15:00-05:00,2026-06-02 21:15:00+00:00,2026-06-02T16:30:00-05:00,2026-06-02 21:30:00+00:00,76958.7917
2026-06-02T16:30:00-05:00,2026-06-02 21:30:00+00:00,2026-06-02T16:45:00-05:00,2026-06-02 21:45:00+00:00,76547.6068
2026-06-02T16:45:00-05:00,2026-06-02 21:45:00+00:00,2026-06-02T17:00:00-05:00,2026-06-02 22:00:00+00:00,76350.0573
2026-06-02T17:00:00-05:00,2026-06-02 22:00:00+00:00,2026-06-02T17:15:00-05:00,2026-06-02 22:15:00+00:00,75707.526
2026-06-02T17:15:00-05:00,2026-06-02 22:15:00+00:00,2026-06-02T17:30:00-05:00,2026-06-02 22:30:00+00:00,75360.3464
2026-06-02T17:30:00-05:00,2026-06-02 22:30:00+00:00,2026-06-02T17:45:00-05:00,2026-06-02 22:45:00+00:00,74553.7682
2026-06-02T17:45:00-05:00,2026-06-02 22:45:00+00:00,2026-06-02T18:00:00-05:00,2026-06-02 23:00:00+00:00,73806.7552
2026-06-02T18:00:00-05:00,2026-06-02 23:00:00+00:00,2026-06-02T18:15:00-05:00,2026-06-02 23:15:00+00:00,72951.1042
2026-06-02T18:15:00-05:00,2026-06-02 23:15:00+00:00,2026-06-02T18:30:00-05:00,2026-06-02 23:30:00+00:00,72432.1745
